text,label_prediksi
Barang sampai dengan selamat (Sampel ke-0),Negatif
Kecewa dengan pengiriman (Sampel ke-1),Negatif
Standar saja sih (Sampel ke-2),Positif
Bagus banget! (Sampel ke-3),Negatif
Kurang suka warnanya (Sampel ke-4),Negatif
Oke lah untuk harga segini (Sampel ke-5),Positif
Biasa saja tidak ada yang spesial (Sampel ke-6),Positif
Layanan sangat ramah (Sampel ke-7),Positif
Produk rusak saat sampai (Sampel ke-8),Negatif
Barang sampai dengan selamat (Sampel ke-9),Positif
Kecewa dengan pengiriman (Sampel ke-10),Negatif
Standar saja sih (Sampel ke-11),Positif
Bagus banget! (Sampel ke-12),Negatif
Kurang suka warnanya (Sampel ke-13),Negatif
Oke lah untuk harga segini (Sampel ke-14),Positif
Biasa saja tidak ada yang spesial (Sampel ke-15),Positif
Layanan sangat ramah (Sampel ke-16),Positif
Produk rusak saat sampai (Sampel ke-17),Negatif
Barang sampai dengan selamat (Sampel ke-18),Positif
Kecewa dengan pengiriman (Sampel ke-19),Negatif
Standar saja sih (Sampel ke-20),Positif
Bagus banget! (Sampel ke-21),Negatif
Kurang suka warnanya (Sampel ke-22),Negatif
Oke lah untuk harga segini (Sampel ke-23),Positif
Biasa saja tidak ada yang spesial (Sampel ke-24),Positif
Layanan sangat ramah (Sampel ke-25),Positif
Produk rusak saat sampai (Sampel ke-26),Negatif
Barang sampai dengan selamat (Sampel ke-27),Positif
Kecewa dengan pengiriman (Sampel ke-28),Negatif
Standar saja sih (Sampel ke-29),Positif
Bagus banget! (Sampel ke-30),Negatif
Kurang suka warnanya (Sampel ke-31),Negatif
Oke lah untuk harga segini (Sampel ke-32),Positif
Biasa saja tidak ada yang spesial (Sampel ke-33),Positif
Layanan sangat ramah (Sampel ke-34),Positif
Produk rusak saat sampai (Sampel ke-35),Negatif
Barang sampai dengan selamat (Sampel ke-36),Positif
Kecewa dengan pengiriman (Sampel ke-37),Negatif
Standar saja sih (Sampel ke-38),Positif
Bagus banget! (Sampel ke-39),Negatif
Kurang suka warnanya (Sampel ke-40),Negatif
Oke lah untuk harga segini (Sampel ke-41),Positif
Biasa saja tidak ada yang spesial (Sampel ke-42),Positif
Layanan sangat ramah (Sampel ke-43),Positif
Produk rusak saat sampai (Sampel ke-44),Negatif
Barang sampai dengan selamat (Sampel ke-45),Positif
Kecewa dengan pengiriman (Sampel ke-46),Negatif
Standar saja sih (Sampel ke-47),Positif
Bagus banget! (Sampel ke-48),Negatif
Kurang suka warnanya (Sampel ke-49),Negatif
Oke lah untuk harga segini (Sampel ke-50),Positif
Biasa saja tidak ada yang spesial (Sampel ke-51),Positif
Layanan sangat ramah (Sampel ke-52),Positif
Produk rusak saat sampai (Sampel ke-53),Negatif
Barang sampai dengan selamat (Sampel ke-54),Positif
Kecewa dengan pengiriman (Sampel ke-55),Negatif
Standar saja sih (Sampel ke-56),Positif
Bagus banget! (Sampel ke-57),Negatif
Kurang suka warnanya (Sampel ke-58),Negatif
Oke lah untuk harga segini (Sampel ke-59),Positif
Biasa saja tidak ada yang spesial (Sampel ke-60),Positif
Layanan sangat ramah (Sampel ke-61),Positif
Produk rusak saat sampai (Sampel ke-62),Negatif
Barang sampai dengan selamat (Sampel ke-63),Positif
Kecewa dengan pengiriman (Sampel ke-64),Negatif
Standar saja sih (Sampel ke-65),Positif
Bagus banget! (Sampel ke-66),Negatif
Kurang suka warnanya (Sampel ke-67),Negatif
Oke lah untuk harga segini (Sampel ke-68),Positif
Biasa saja tidak ada yang spesial (Sampel ke-69),Positif
Layanan sangat ramah (Sampel ke-70),Positif
Produk rusak saat sampai (Sampel ke-71),Negatif
Barang sampai dengan selamat (Sampel ke-72),Positif
Kecewa dengan pengiriman (Sampel ke-73),Negatif
Standar saja sih (Sampel ke-74),Positif
Bagus banget! (Sampel ke-75),Positif
Kurang suka warnanya (Sampel ke-76),Negatif
Oke lah untuk harga segini (Sampel ke-77),Positif
Biasa saja tidak ada yang spesial (Sampel ke-78),Positif
Layanan sangat ramah (Sampel ke-79),Positif
Produk rusak saat sampai (Sampel ke-80),Negatif
Barang sampai dengan selamat (Sampel ke-81),Positif
Kecewa dengan pengiriman (Sampel ke-82),Negatif
Standar saja sih (Sampel ke-83),Positif
Bagus banget! (Sampel ke-84),Negatif
Kurang suka warnanya (Sampel ke-85),Negatif
Oke lah untuk harga segini (Sampel ke-86),Positif
Biasa saja tidak ada yang spesial (Sampel ke-87),Positif
Layanan sangat ramah (Sampel ke-88),Positif
Produk rusak saat sampai (Sampel ke-89),Negatif
Barang sampai dengan selamat (Sampel ke-90),Positif
Kecewa dengan pengiriman (Sampel ke-91),Negatif
Standar saja sih (Sampel ke-92),Positif
Bagus banget! (Sampel ke-93),Positif
Kurang suka warnanya (Sampel ke-94),Negatif
Oke lah untuk harga segini (Sampel ke-95),Positif
Biasa saja tidak ada yang spesial (Sampel ke-96),Positif
Layanan sangat ramah (Sampel ke-97),Positif
Produk rusak saat sampai (Sampel ke-98),Negatif
Barang sampai dengan selamat (Sampel ke-99),Positif
Kecewa dengan pengiriman (Sampel ke-100),Negatif
Standar saja sih (Sampel ke-101),Positif
Bagus banget! (Sampel ke-102),Negatif
Kurang suka warnanya (Sampel ke-103),Negatif
Oke lah untuk harga segini (Sampel ke-104),Positif
Biasa saja tidak ada yang spesial (Sampel ke-105),Positif
Layanan sangat ramah (Sampel ke-106),Positif
Produk rusak saat sampai (Sampel ke-107),Negatif
Barang sampai dengan selamat (Sampel ke-108),Positif
Kecewa dengan pengiriman (Sampel ke-109),Negatif
Standar saja sih (Sampel ke-110),Positif
Bagus banget! (Sampel ke-111),Negatif
Kurang suka warnanya (Sampel ke-112),Negatif
Oke lah untuk harga segini (Sampel ke-113),Positif
Biasa saja tidak ada yang spesial (Sampel ke-114),Positif
Layanan sangat ramah (Sampel ke-115),Positif
Produk rusak saat sampai (Sampel ke-116),Negatif
Barang sampai dengan selamat (Sampel ke-117),Positif
Kecewa dengan pengiriman (Sampel ke-118),Negatif
Standar saja sih (Sampel ke-119),Positif
Bagus banget! (Sampel ke-120),Negatif
Kurang suka warnanya (Sampel ke-121),Negatif
Oke lah untuk harga segini (Sampel ke-122),Positif
Biasa saja tidak ada yang spesial (Sampel ke-123),Positif
Layanan sangat ramah (Sampel ke-124),Positif
Produk rusak saat sampai (Sampel ke-125),Negatif
Barang sampai dengan selamat (Sampel ke-126),Positif
Kecewa dengan pengiriman (Sampel ke-127),Negatif
Standar saja sih (Sampel ke-128),Positif
Bagus banget! (Sampel ke-129),Negatif
Kurang suka warnanya (Sampel ke-130),Negatif
Oke lah untuk harga segini (Sampel ke-131),Positif
Biasa saja tidak ada yang spesial (Sampel ke-132),Positif
Layanan sangat ramah (Sampel ke-133),Positif
Produk rusak saat sampai (Sampel ke-134),Negatif
Barang sampai dengan selamat (Sampel ke-135),Positif
Kecewa dengan pengiriman (Sampel ke-136),Negatif
Standar saja sih (Sampel ke-137),Positif
Bagus banget! (Sampel ke-138),Negatif
Kurang suka warnanya (Sampel ke-139),Negatif
Oke lah untuk harga segini (Sampel ke-140),Positif
Biasa saja tidak ada yang spesial (Sampel ke-141),Positif
Layanan sangat ramah (Sampel ke-142),Positif
Produk rusak saat sampai (Sampel ke-143),Negatif
Barang sampai dengan selamat (Sampel ke-144),Positif
Kecewa dengan pengiriman (Sampel ke-145),Negatif
Standar saja sih (Sampel ke-146),Positif
Bagus banget! (Sampel ke-147),Negatif
Kurang suka warnanya (Sampel ke-148),Negatif
Oke lah untuk harga segini (Sampel ke-149),Positif
Biasa saja tidak ada yang spesial (Sampel ke-150),Positif
Layanan sangat ramah (Sampel ke-151),Positif
Produk rusak saat sampai (Sampel ke-152),Negatif
Barang sampai dengan selamat (Sampel ke-153),Positif
Kecewa dengan pengiriman (Sampel ke-154),Negatif
Standar saja sih (Sampel ke-155),Positif
Bagus banget! (Sampel ke-156),Negatif
Kurang suka warnanya (Sampel ke-157),Negatif
Oke lah untuk harga segini (Sampel ke-158),Positif
Biasa saja tidak ada yang spesial (Sampel ke-159),Positif
Layanan sangat ramah (Sampel ke-160),Positif
Produk rusak saat sampai (Sampel ke-161),Negatif
Barang sampai dengan selamat (Sampel ke-162),Positif
Kecewa dengan pengiriman (Sampel ke-163),Negatif
Standar saja sih (Sampel ke-164),Positif
Bagus banget! (Sampel ke-165),Negatif
Kurang suka warnanya (Sampel ke-166),Negatif
Oke lah untuk harga segini (Sampel ke-167),Positif
Biasa saja tidak ada yang spesial (Sampel ke-168),Positif
Layanan sangat ramah (Sampel ke-169),Positif
Produk rusak saat sampai (Sampel ke-170),Negatif
Barang sampai dengan selamat (Sampel ke-171),Positif
Kecewa dengan pengiriman (Sampel ke-172),Negatif
Standar saja sih (Sampel ke-173),Positif
Bagus banget! (Sampel ke-174),Positif
Kurang suka warnanya (Sampel ke-175),Negatif
Oke lah untuk harga segini (Sampel ke-176),Positif
Biasa saja tidak ada yang spesial (Sampel ke-177),Positif
Layanan sangat ramah (Sampel ke-178),Positif
Produk rusak saat sampai (Sampel ke-179),Negatif
Barang sampai dengan selamat (Sampel ke-180),Positif
Kecewa dengan pengiriman (Sampel ke-181),Negatif
Standar saja sih (Sampel ke-182),Positif
Bagus banget! (Sampel ke-183),Negatif
Kurang suka warnanya (Sampel ke-184),Negatif
Oke lah untuk harga segini (Sampel ke-185),Positif
Biasa saja tidak ada yang spesial (Sampel ke-186),Positif
Layanan sangat ramah (Sampel ke-187),Positif
Produk rusak saat sampai (Sampel ke-188),Negatif
Barang sampai dengan selamat (Sampel ke-189),Positif
Kecewa dengan pengiriman (Sampel ke-190),Negatif
Standar saja sih (Sampel ke-191),Positif
Bagus banget! (Sampel ke-192),Negatif
Kurang suka warnanya (Sampel ke-193),Negatif
Oke lah untuk harga segini (Sampel ke-194),Positif
Biasa saja tidak ada yang spesial (Sampel ke-195),Positif
Layanan sangat ramah (Sampel ke-196),Positif
Produk rusak saat sampai (Sampel ke-197),Negatif
Barang sampai dengan selamat (Sampel ke-198),Positif
Kecewa dengan pengiriman (Sampel ke-199),Negatif
Standar saja sih (Sampel ke-200),Positif
Bagus banget! (Sampel ke-201),Positif
Kurang suka warnanya (Sampel ke-202),Negatif
Oke lah untuk harga segini (Sampel ke-203),Positif
Biasa saja tidak ada yang spesial (Sampel ke-204),Positif
Layanan sangat ramah (Sampel ke-205),Positif
Produk rusak saat sampai (Sampel ke-206),Negatif
Barang sampai dengan selamat (Sampel ke-207),Positif
Kecewa dengan pengiriman (Sampel ke-208),Negatif
Standar saja sih (Sampel ke-209),Positif
Bagus banget! (Sampel ke-210),Negatif
Kurang suka warnanya (Sampel ke-211),Negatif
Oke lah untuk harga segini (Sampel ke-212),Positif
Biasa saja tidak ada yang spesial (Sampel ke-213),Positif
Layanan sangat ramah (Sampel ke-214),Positif
Produk rusak saat sampai (Sampel ke-215),Negatif
Barang sampai dengan selamat (Sampel ke-216),Positif
Kecewa dengan pengiriman (Sampel ke-217),Negatif
Standar saja sih (Sampel ke-218),Positif
Bagus banget! (Sampel ke-219),Negatif
Kurang suka warnanya (Sampel ke-220),Negatif
Oke lah untuk harga segini (Sampel ke-221),Positif
Biasa saja tidak ada yang spesial (Sampel ke-222),Positif
Layanan sangat ramah (Sampel ke-223),Positif
Produk rusak saat sampai (Sampel ke-224),Negatif
Barang sampai dengan selamat (Sampel ke-225),Positif
Kecewa dengan pengiriman (Sampel ke-226),Negatif
Standar saja sih (Sampel ke-227),Positif
Bagus banget! (Sampel ke-228),Negatif
Kurang suka warnanya (Sampel ke-229),Negatif
Oke lah untuk harga segini (Sampel ke-230),Positif
Biasa saja tidak ada yang spesial (Sampel ke-231),Positif
Layanan sangat ramah (Sampel ke-232),Positif
Produk rusak saat sampai (Sampel ke-233),Negatif
Barang sampai dengan selamat (Sampel ke-234),Positif
Kecewa dengan pengiriman (Sampel ke-235),Negatif
Standar saja sih (Sampel ke-236),Positif
Bagus banget! (Sampel ke-237),Negatif
Kurang suka warnanya (Sampel ke-238),Negatif
Oke lah untuk harga segini (Sampel ke-239),Positif
Biasa saja tidak ada yang spesial (Sampel ke-240),Positif
Layanan sangat ramah (Sampel ke-241),Positif
Produk rusak saat sampai (Sampel ke-242),Negatif
Barang sampai dengan selamat (Sampel ke-243),Positif
Kecewa dengan pengiriman (Sampel ke-244),Negatif
Standar saja sih (Sampel ke-245),Positif
Bagus banget! (Sampel ke-246),Negatif
Kurang suka warnanya (Sampel ke-247),Negatif
Oke lah untuk harga segini (Sampel ke-248),Positif
Biasa saja tidak ada yang spesial (Sampel ke-249),Positif
Layanan sangat ramah (Sampel ke-250),Positif
Produk rusak saat sampai (Sampel ke-251),Negatif
Barang sampai dengan selamat (Sampel ke-252),Positif
Kecewa dengan pengiriman (Sampel ke-253),Negatif
Standar saja sih (Sampel ke-254),Positif
Bagus banget! (Sampel ke-255),Positif
Kurang suka warnanya (Sampel ke-256),Negatif
Oke lah untuk harga segini (Sampel ke-257),Positif
Biasa saja tidak ada yang spesial (Sampel ke-258),Positif
Layanan sangat ramah (Sampel ke-259),Positif
Produk rusak saat sampai (Sampel ke-260),Negatif
Barang sampai dengan selamat (Sampel ke-261),Positif
Kecewa dengan pengiriman (Sampel ke-262),Negatif
Standar saja sih (Sampel ke-263),Positif
Bagus banget! (Sampel ke-264),Negatif
Kurang suka warnanya (Sampel ke-265),Negatif
Oke lah untuk harga segini (Sampel ke-266),Positif
Biasa saja tidak ada yang spesial (Sampel ke-267),Positif
Layanan sangat ramah (Sampel ke-268),Positif
Produk rusak saat sampai (Sampel ke-269),Negatif
Barang sampai dengan selamat (Sampel ke-270),Positif
Kecewa dengan pengiriman (Sampel ke-271),Negatif
Standar saja sih (Sampel ke-272),Positif
Bagus banget! (Sampel ke-273),Positif
Kurang suka warnanya (Sampel ke-274),Negatif
Oke lah untuk harga segini (Sampel ke-275),Positif
Biasa saja tidak ada yang spesial (Sampel ke-276),Positif
Layanan sangat ramah (Sampel ke-277),Positif
Produk rusak saat sampai (Sampel ke-278),Negatif
Barang sampai dengan selamat (Sampel ke-279),Positif
Kecewa dengan pengiriman (Sampel ke-280),Negatif
Standar saja sih (Sampel ke-281),Positif
Bagus banget! (Sampel ke-282),Negatif
Kurang suka warnanya (Sampel ke-283),Negatif
Oke lah untuk harga segini (Sampel ke-284),Positif
Biasa saja tidak ada yang spesial (Sampel ke-285),Positif
Layanan sangat ramah (Sampel ke-286),Positif
Produk rusak saat sampai (Sampel ke-287),Negatif
Barang sampai dengan selamat (Sampel ke-288),Positif
Kecewa dengan pengiriman (Sampel ke-289),Negatif
Standar saja sih (Sampel ke-290),Positif
Bagus banget! (Sampel ke-291),Positif
Kurang suka warnanya (Sampel ke-292),Negatif
Oke lah untuk harga segini (Sampel ke-293),Positif
Biasa saja tidak ada yang spesial (Sampel ke-294),Positif
Layanan sangat ramah (Sampel ke-295),Positif
Produk rusak saat sampai (Sampel ke-296),Negatif
Barang sampai dengan selamat (Sampel ke-297),Positif
Kecewa dengan pengiriman (Sampel ke-298),Negatif
Standar saja sih (Sampel ke-299),Positif
Bagus banget! (Sampel ke-300),Negatif
Kurang suka warnanya (Sampel ke-301),Negatif
Oke lah untuk harga segini (Sampel ke-302),Positif
Biasa saja tidak ada yang spesial (Sampel ke-303),Positif
Layanan sangat ramah (Sampel ke-304),Positif
Produk rusak saat sampai (Sampel ke-305),Negatif
Barang sampai dengan selamat (Sampel ke-306),Positif
Kecewa dengan pengiriman (Sampel ke-307),Negatif
Standar saja sih (Sampel ke-308),Positif
Bagus banget! (Sampel ke-309),Negatif
Kurang suka warnanya (Sampel ke-310),Negatif
Oke lah untuk harga segini (Sampel ke-311),Positif
Biasa saja tidak ada yang spesial (Sampel ke-312),Positif
Layanan sangat ramah (Sampel ke-313),Positif
Produk rusak saat sampai (Sampel ke-314),Negatif
Barang sampai dengan selamat (Sampel ke-315),Positif
Kecewa dengan pengiriman (Sampel ke-316),Negatif
Standar saja sih (Sampel ke-317),Positif
Bagus banget! (Sampel ke-318),Negatif
Kurang suka warnanya (Sampel ke-319),Negatif
Oke lah untuk harga segini (Sampel ke-320),Positif
Biasa saja tidak ada yang spesial (Sampel ke-321),Positif
Layanan sangat ramah (Sampel ke-322),Positif
Produk rusak saat sampai (Sampel ke-323),Negatif
Barang sampai dengan selamat (Sampel ke-324),Positif
Kecewa dengan pengiriman (Sampel ke-325),Negatif
Standar saja sih (Sampel ke-326),Positif
Bagus banget! (Sampel ke-327),Negatif
Kurang suka warnanya (Sampel ke-328),Negatif
Oke lah untuk harga segini (Sampel ke-329),Positif
Biasa saja tidak ada yang spesial (Sampel ke-330),Positif
Layanan sangat ramah (Sampel ke-331),Positif
Produk rusak saat sampai (Sampel ke-332),Negatif
Barang sampai dengan selamat (Sampel ke-333),Positif
Kecewa dengan pengiriman (Sampel ke-334),Negatif
Standar saja sih (Sampel ke-335),Positif
Bagus banget! (Sampel ke-336),Positif
Kurang suka warnanya (Sampel ke-337),Negatif
Oke lah untuk harga segini (Sampel ke-338),Positif
Biasa saja tidak ada yang spesial (Sampel ke-339),Positif
Layanan sangat ramah (Sampel ke-340),Positif
Produk rusak saat sampai (Sampel ke-341),Negatif
Barang sampai dengan selamat (Sampel ke-342),Positif
Kecewa dengan pengiriman (Sampel ke-343),Negatif
Standar saja sih (Sampel ke-344),Positif
Bagus banget! (Sampel ke-345),Negatif
Kurang suka warnanya (Sampel ke-346),Negatif
Oke lah untuk harga segini (Sampel ke-347),Positif
Biasa saja tidak ada yang spesial (Sampel ke-348),Positif
Layanan sangat ramah (Sampel ke-349),Positif
Produk rusak saat sampai (Sampel ke-350),Negatif
Barang sampai dengan selamat (Sampel ke-351),Positif
Kecewa dengan pengiriman (Sampel ke-352),Negatif
Standar saja sih (Sampel ke-353),Positif
Bagus banget! (Sampel ke-354),Negatif
Kurang suka warnanya (Sampel ke-355),Negatif
Oke lah untuk harga segini (Sampel ke-356),Positif
Biasa saja tidak ada yang spesial (Sampel ke-357),Positif
Layanan sangat ramah (Sampel ke-358),Positif
Produk rusak saat sampai (Sampel ke-359),Negatif
Barang sampai dengan selamat (Sampel ke-360),Positif
Kecewa dengan pengiriman (Sampel ke-361),Negatif
Standar saja sih (Sampel ke-362),Positif
Bagus banget! (Sampel ke-363),Negatif
Kurang suka warnanya (Sampel ke-364),Negatif
Oke lah untuk harga segini (Sampel ke-365),Positif
Biasa saja tidak ada yang spesial (Sampel ke-366),Positif
Layanan sangat ramah (Sampel ke-367),Positif
Produk rusak saat sampai (Sampel ke-368),Negatif
Barang sampai dengan selamat (Sampel ke-369),Positif
Kecewa dengan pengiriman (Sampel ke-370),Negatif
Standar saja sih (Sampel ke-371),Positif
Bagus banget! (Sampel ke-372),Positif
Kurang suka warnanya (Sampel ke-373),Negatif
Oke lah untuk harga segini (Sampel ke-374),Positif
Biasa saja tidak ada yang spesial (Sampel ke-375),Positif
Layanan sangat ramah (Sampel ke-376),Positif
Produk rusak saat sampai (Sampel ke-377),Negatif
Barang sampai dengan selamat (Sampel ke-378),Positif
Kecewa dengan pengiriman (Sampel ke-379),Negatif
Standar saja sih (Sampel ke-380),Positif
Bagus banget! (Sampel ke-381),Positif
Kurang suka warnanya (Sampel ke-382),Negatif
Oke lah untuk harga segini (Sampel ke-383),Positif
Biasa saja tidak ada yang spesial (Sampel ke-384),Positif
Layanan sangat ramah (Sampel ke-385),Positif
Produk rusak saat sampai (Sampel ke-386),Negatif
Barang sampai dengan selamat (Sampel ke-387),Positif
Kecewa dengan pengiriman (Sampel ke-388),Negatif
Standar saja sih (Sampel ke-389),Positif
Bagus banget! (Sampel ke-390),Positif
Kurang suka warnanya (Sampel ke-391),Negatif
Oke lah untuk harga segini (Sampel ke-392),Positif
Biasa saja tidak ada yang spesial (Sampel ke-393),Positif
Layanan sangat ramah (Sampel ke-394),Positif
Produk rusak saat sampai (Sampel ke-395),Negatif
Barang sampai dengan selamat (Sampel ke-396),Positif
Kecewa dengan pengiriman (Sampel ke-397),Negatif
Standar saja sih (Sampel ke-398),Positif
Bagus banget! (Sampel ke-399),Positif
